Applicant.ID,Position.Name,Employer.Name,City,State.Name,State.Code,Start.Date,End.Date,Job.Description,Salary,Can.Contact.Employer,Created.At,Updated.At
10001,Account Manager / Sales Administration / Quality Assurance,Barcode Resourcing,Bellingham,Washington,WA,41197,,NA,NA,NA,2014-12-12 20:10:02 UTC,2014-12-12 20:10:02 UTC
10001,Electronics Technician / Item Master Controller,Ryzex Group,Bellingham,Washington,WA,37226,41000,NA,NA,NA,2014-12-12 20:10:02 UTC,2014-12-12 20:10:02 UTC
10001,Machine Operator,comptec inc,Custer,Washington,WA,35431,36161,NA,NA,NA,2014-12-12 20:10:02 UTC,2014-12-12 20:10:02 UTC
10003,maintenance technician,Winn residental ,washington,District of Columbia,DC,NA,NA,"Necessary maintenance for ""Make Ready"" Plumbing, electrical, HvAc ",10,FALSE,2014-12-12 21:27:05 UTC,2014-12-12 21:27:05 UTC
10003,Electrical Helper ,michael and son services ,alexandria ,Virginia,VA,NA,NA,repair and services of electrical construction ,NA,FALSE,2014-12-12 21:27:05 UTC,2014-12-12 21:27:05 UTC
10003,technician ,jiffy lube ,district heights ,Maryland,MD,NA,NA,"basic auto maintenance, and customer services reports ",7.25,FALSE,2014-12-12 21:27:05 UTC,2014-12-12 21:27:05 UTC
10004,,Retired,,,,,NA,,NA,NA,2014-12-12 22:02:02 UTC,2014-12-12 22:02:02 UTC
10004,,Rite Aid,Cleveland,Ohio,OH,,NA,Shift superisor,NA,NA,2014-12-12 22:02:02 UTC,2014-12-12 22:02:02 UTC
10004,shift superviveur,Rite Aid,Cleveland,Ohio,OH,31143,NA,,NA,NA,2014-12-12 22:02:02 UTC,2014-12-12 22:02:02 UTC
10005,All Star Houseman,Hilton Garden Inn Atlanta Midtown,Atlanta,Georgia,GA,NA,41852,NA,NA,NA,2014-12-12 22:08:04 UTC,2014-12-12 22:08:04 UTC
10007,Bartender,Infusion Lounge,San Francisco,California,CA,40391,,"Support bar and management staff at a well-known nigh-club with nightly sales of $25,000+
Keep pace in an extremely fast work environment 
Receive consistently positive performance reviews from supervisors",NA,FALSE,2014-12-12 23:01:04 UTC,2014-12-12 23:03:13 UTC
