UserID,WindowID,Split,ApplicationDate,JobID
47,1,Train,56:23.5,169528
47,1,Train,03:00.0,284009
47,1,Train,40:27.8,2121
47,1,Train,37:02.7,848187
47,1,Train,44:06.7,733748
47,1,Train,34:40.2,576958
47,1,Train,55:03.6,262470
47,1,Train,38:49.5,602298
72,1,Train,36:43.0,834662
72,1,Train,19:58.2,1020903
72,1,Train,38:10.1,180313
72,1,Train,05:15.3,480634
72,1,Train,51:45.0,564184
80,1,Train,53:19.8,908909
123,1,Train,57:48.9,1080147
123,1,Train,03:45.1,1080148
131,1,Train,06:37.7,688863
131,1,Train,08:47.4,1092900
131,1,Train,09:34.3,50183
162,1,Train,25:41.4,69667
162,1,Train,15:52.4,822835
178,1,Train,43:42.3,13298
203,1,Train,01:27.9,148976
203,1,Train,50:37.2,758079
203,1,Train,47:58.1,717481
203,1,Train,43:52.0,13175
203,1,Train,02:45.6,1032422
344,1,Train,38:28.1,519595
395,1,Train,40:42.8,1075341
395,1,Train,46:58.8,485208
395,1,Train,15:44.1,784093
411,1,Train,28:48.1,766183
411,1,Train,30:20.2,314495
411,1,Train,30:20.6,479001
415,1,Train,21:04.0,580369
483,1,Train,51:58.5,1098779
483,1,Train,36:55.1,381246
496,1,Train,49:33.5,1102826
496,1,Train,33:48.3,932921
501,1,Train,24:46.5,1091719
501,1,Train,33:45.9,920491
501,1,Train,37:42.4,752100
524,1,Train,23:30.3,142459
524,1,Train,37:23.2,135040
524,1,Train,35:31.0,871031
547,1,Train,46:45.1,1008042
547,1,Train,24:24.8,1008052
547,1,Train,33:40.2,449169
547,1,Train,32:35.9,366888
547,1,Train,35:19.3,153632
553,1,Train,16:52.8,957
554,1,Train,05:25.3,196603
554,1,Train,08:41.4,300053
554,1,Train,05:24.3,1078274
554,1,Train,05:26.1,146817
554,1,Train,05:25.8,654538
554,1,Train,08:41.3,336293
554,1,Train,05:25.8,640492
554,1,Train,18:18.3,271546
554,1,Train,08:44.7,283949
554,1,Train,11:22.3,1066757
554,1,Train,05:25.3,300007
554,1,Train,05:25.4,1042648
554,1,Train,57:57.6,680718
554,1,Train,08:43.6,600058
554,1,Train,05:24.6,25820
554,1,Train,08:38.7,403896
554,1,Train,08:42.8,497069
554,1,Train,08:40.7,802921
554,1,Train,07:58.5,473911
554,1,Train,08:40.9,811833
554,1,Train,08:40.7,35071
554,1,Train,08:43.7,300020
554,1,Train,05:23.8,812337
554,1,Train,08:41.8,537961
554,1,Train,05:23.5,600011
554,1,Train,05:25.4,871066
554,1,Train,05:26.2,1113088
554,1,Train,15:11.8,946506
554,1,Train,08:39.4,600033
554,1,Train,05:25.0,283948
554,1,Train,05:25.8,600045
554,1,Train,05:25.1,1091388
554,1,Train,05:25.6,18
554,1,Train,08:43.5,488127
554,1,Train,08:38.6,957
554,1,Train,08:41.4,328100
554,1,Train,05:25.1,28139
554,1,Train,05:24.3,817048
554,1,Train,05:24.0,251966
554,1,Train,08:41.4,316374
554,1,Train,05:24.4,747584
554,1,Train,05:23.6,491965
554,1,Train,08:43.8,537959
554,1,Train,08:38.9,280275
554,1,Train,08:41.3,855139
554,1,Train,08:44.6,149199
554,1,Train,08:41.7,449029
554,1,Train,59:19.4,627377
554,1,Train,08:44.1,40
554,1,Train,08:43.7,273293
554,1,Train,05:26.3,773410
555,1,Train,02:26.8,880943
555,1,Train,00:54.8,1058892
640,1,Train,35:54.4,80574
640,1,Train,23:26.3,900359
644,1,Train,11:31.5,365842
645,1,Train,26:53.9,187357
645,1,Train,26:53.9,464796
645,1,Train,26:54.0,234872
645,1,Train,20:19.5,222539
645,1,Train,26:54.0,814750
645,1,Train,26:54.9,1014772
645,1,Train,26:54.7,565961
645,1,Train,26:53.3,159979
645,1,Train,26:54.2,547649
655,1,Train,57:07.2,524448
655,1,Train,35:03.9,214688
655,1,Train,03:16.5,986010
655,1,Train,20:01.2,585967
655,1,Train,32:33.7,886994
682,1,Train,13:15.3,734242
682,1,Train,09:44.3,24469
682,1,Train,24:11.5,266926
682,1,Train,55:11.9,591265
744,1,Train,01:18.2,1077655
767,1,Test,37:20.0,85377
769,1,Test,36:52.5,853328
769,1,Test,59:28.2,86106
769,1,Test,59:31.1,327571
769,1,Test,29:12.0,119161
769,1,Test,49:59.0,28124
769,1,Test,57:43.0,306734
769,1,Test,59:30.5,584241
769,1,Test,59:30.2,811935
769,1,Test,50:00.6,1032353
769,1,Test,59:31.2,381978
769,1,Test,59:24.1,608556
769,1,Test,59:24.9,601021
769,1,Test,53:43.4,775477
769,1,Test,59:23.5,778617
769,1,Test,51:49.4,39407
769,1,Test,59:23.7,361603
769,1,Test,59:24.3,300974
769,1,Test,59:27.1,551465
769,1,Test,59:26.8,1061408
769,1,Test,59:31.0,28033
769,1,Test,55:28.7,276926
769,1,Test,53:16.6,900568
769,1,Test,59:27.7,1054653
769,1,Test,50:00.5,683925
769,1,Test,59:27.9,134528
769,1,Test,59:28.1,174594
769,1,Test,59:30.9,478877
769,1,Test,59:25.2,1039146
769,1,Test,59:31.2,1069766
769,1,Test,59:30.2,900935
769,1,Test,59:31.0,344549
769,1,Test,59:26.8,7620
769,1,Test,59:25.0,497411
769,1,Test,59:24.3,512686
769,1,Test,59:24.9,195570
769,1,Test,59:30.6,814990
769,1,Test,59:25.7,272504
769,1,Test,59:26.2,624249
861,1,Test,00:00.4,1030664
861,1,Test,59:14.8,149330
908,1,Train,50:46.9,1008162
951,1,Train,56:55.4,79201
951,1,Train,56:57.6,1051929
951,1,Train,39:04.3,207874
951,1,Train,56:55.4,200296
951,1,Train,56:57.2,780304
951,1,Train,56:56.6,821864
951,1,Train,56:56.0,769592
951,1,Train,20:34.6,885313
951,1,Train,56:57.2,1025718
951,1,Train,14:52.5,387058
951,1,Train,56:55.4,77978
966,1,Train,33:43.2,1057124
966,1,Train,40:53.0,1057537
1006,1,Test,09:13.7,655183
1031,1,Train,31:00.7,718012
1045,1,Train,23:37.6,1061008
1045,1,Train,24:27.0,558454
1113,1,Train,52:22.9,626239
1113,1,Train,54:03.8,6867
1123,1,Train,00:03.9,417260
1138,1,Train,07:47.3,489718
1138,1,Train,07:46.9,80928
1192,1,Test,11:03.1,140348
1201,1,Train,38:43.3,657615
1201,1,Train,10:38.0,528186
1204,1,Train,52:07.4,208204
1206,1,Train,46:20.4,1045099
1206,1,Train,45:57.6,192714
1206,1,Train,56:25.4,312984
1206,1,Train,30:03.7,468740
1226,1,Train,33:20.7,878116
1244,1,Train,29:41.4,796534
1355,1,Train,15:41.1,22513
1355,1,Train,22:31.5,747871
1355,1,Train,23:17.5,117126
1355,1,Train,21:04.3,544027
1363,1,Train,50:30.7,919896
1363,1,Train,44:14.7,898053
1374,1,Train,28:08.8,458275
1374,1,Train,59:04.4,746078
1374,1,Train,22:20.2,34963
1486,1,Train,46:46.8,1086943
1487,1,Train,11:22.3,570439
1526,1,Train,33:44.5,326474
1526,1,Train,29:27.6,997521
1526,1,Train,34:58.1,512682
1526,1,Train,39:32.9,364189
1526,1,Train,34:57.7,899718
1526,1,Train,44:36.2,971791
1541,1,Train,50:26.7,314080
1563,1,Train,31:36.4,1032277
1610,1,Train,46:31.4,35326
1610,1,Train,57:47.4,192076
1645,1,Train,11:24.4,563185
1645,1,Train,52:34.1,292175
1645,1,Train,50:40.3,492315
1645,1,Train,11:24.6,175314
1645,1,Train,50:40.0,775692
1645,1,Train,17:57.1,535350
1645,1,Train,26:41.8,174692
1645,1,Train,50:41.0,924867
1657,1,Train,53:36.5,39376
1697,1,Train,19:51.7,927775
1697,1,Train,53:16.4,961415
1697,1,Train,53:15.9,880231
1697,1,Train,19:46.5,496169
1697,1,Train,53:13.3,28124
1697,1,Train,53:14.6,300774
1697,1,Train,53:15.4,109062
1697,1,Train,19:50.5,212094
1697,1,Train,53:15.4,311483
1697,1,Train,53:15.7,809510
1697,1,Train,01:22.1,381978
1697,1,Train,53:14.4,15428
1697,1,Train,53:14.0,264265
1697,1,Train,19:52.8,601021
1697,1,Train,53:14.6,580317
1697,1,Train,19:54.5,911848
1697,1,Train,19:50.0,778350
1697,1,Train,53:14.5,901920
1697,1,Train,49:27.2,242150
1697,1,Train,53:13.7,300740
1697,1,Train,53:14.3,495321
1697,1,Train,53:13.1,866859
1697,1,Train,19:52.1,212415
1697,1,Train,19:47.9,339201
1697,1,Train,37:24.5,822675
1697,1,Train,19:52.0,959911
1697,1,Train,19:53.5,1050681
1697,1,Train,19:52.7,282642
1697,1,Train,15:20.9,167006
1697,1,Train,19:50.6,13313
1697,1,Train,19:47.0,149354
1697,1,Train,53:15.8,825168
1697,1,Train,19:54.2,905085
1697,1,Train,53:15.7,1054653
1697,1,Train,19:54.1,554509
1697,1,Train,19:54.4,812531
1697,1,Train,53:15.8,1045358
1697,1,Train,53:15.2,1017822
1697,1,Train,53:14.8,300767
1697,1,Train,19:54.9,314425
1697,1,Train,19:53.3,512686
1697,1,Train,19:54.4,272504
1697,1,Train,55:35.2,16670
1721,1,Train,58:27.9,434525
1769,1,Train,12:35.0,262490
1769,1,Train,01:15.6,142339
1770,1,Train,09:53.0,168181
1770,1,Train,04:40.3,240288
1770,1,Train,12:13.2,766450
1770,1,Train,11:10.4,1020832
1770,1,Train,12:56.6,811667
1770,1,Train,40:25.2,677738
1793,1,Train,52:36.3,400568
1800,1,Train,22:22.2,942591
1834,1,Train,42:59.6,546359
1834,1,Train,53:18.8,208443
1846,1,Train,18:18.6,452656
1846,1,Train,43:47.1,417505
1846,1,Train,03:27.0,418063
1960,1,Train,43:13.2,278556
1960,1,Train,00:22.3,151684
1960,1,Train,28:57.0,1100477
1960,1,Train,21:04.6,339688
1960,1,Train,03:19.1,1091392
1960,1,Train,57:47.2,1014158
2003,1,Test,20:17.8,213361
2003,1,Test,06:32.7,599565
2010,1,Train,58:18.9,354354
2010,1,Train,01:13.7,710546
2010,1,Train,55:47.7,201393
2010,1,Train,04:06.4,791739
2011,1,Test,29:52.3,512852
2011,1,Test,29:55.4,28551
2011,1,Test,29:52.2,331150
2011,1,Test,29:52.9,597000
2011,1,Test,29:55.6,657551
2011,1,Test,29:55.4,212272
2011,1,Test,29:55.3,809372
2011,1,Test,29:52.8,1051407
2011,1,Test,29:55.5,212273
2011,1,Test,36:32.1,551678
2032,1,Train,55:01.0,561936
2032,1,Train,36:33.9,298812
2032,1,Train,36:34.8,928032
2032,1,Train,36:35.0,79196
2032,1,Train,36:34.6,179834
2032,1,Train,36:33.8,451657
2032,1,Train,36:34.5,338452
2032,1,Train,53:45.6,928013
2116,1,Train,48:08.2,512852
2116,1,Train,46:00.4,812095
2116,1,Train,46:52.5,212272
2116,1,Train,47:35.2,212273
2134,1,Train,39:05.6,30921
2134,1,Train,37:19.0,25963
2134,1,Train,38:06.5,922397
2134,1,Train,41:07.0,863147
2166,1,Train,25:38.2,879110
2203,1,Train,08:10.6,1012368
2203,1,Train,17:08.0,657508
2203,1,Train,47:28.6,505127
2203,1,Train,39:22.7,858238
2203,1,Train,42:04.4,764091
2203,1,Train,14:34.5,474149
2204,1,Train,28:56.1,205937
2241,1,Test,38:35.3,517212
2241,1,Test,23:08.6,453970
2241,1,Test,30:06.1,431409
2241,1,Test,30:07.0,634911
2241,1,Test,56:51.9,996870
2304,1,Train,59:54.2,520100
2304,1,Train,12:16.3,361503
2327,1,Train,53:23.2,1098498
2327,1,Train,14:47.4,740622
2337,1,Train,10:00.1,372552
2337,1,Train,05:10.7,163691
2337,1,Train,48:25.4,553831
2337,1,Train,50:06.1,1075572
2337,1,Train,52:13.6,763434
2370,1,Train,58:27.0,27630
2385,1,Train,27:31.5,50862
2385,1,Train,42:29.8,774247
2385,1,Train,29:18.5,851462
2385,1,Train,21:46.3,927754
2386,1,Train,09:31.5,179675
2386,1,Train,06:32.3,466960
2386,1,Train,05:58.9,814970
2386,1,Train,05:58.9,54371
2386,1,Train,05:58.9,165188
2386,1,Train,09:32.4,640533
2386,1,Train,09:31.3,313825
2386,1,Train,09:31.9,466263
2386,1,Train,28:15.8,230536
2386,1,Train,17:40.9,184511
2393,1,Train,29:15.3,908375
2393,1,Train,29:15.2,636398
2393,1,Train,29:14.0,512323
2393,1,Train,29:13.6,626131
2393,1,Train,29:14.8,922779
2393,1,Train,29:14.1,200446
2393,1,Train,29:14.0,338854
2393,1,Train,29:13.0,156753
2393,1,Train,29:13.5,625404
2393,1,Train,15:19.5,478163
2393,1,Train,29:13.9,502475
2393,1,Train,29:14.1,331319
2393,1,Train,29:14.7,875998
2393,1,Train,29:15.6,631265
2393,1,Train,29:13.9,331260
2432,1,Train,57:36.9,986275
2432,1,Train,00:16.7,908520
2469,1,Train,17:58.6,281804
2469,1,Train,17:58.5,775690
2469,1,Train,16:38.8,881350
2469,1,Train,17:59.2,786735
2472,1,Train,28:03.7,261488
2472,1,Train,28:04.0,1026804
2472,1,Train,24:22.2,354546
2472,1,Train,28:03.8,446115
2472,1,Train,24:16.7,300910
2472,1,Train,28:04.0,472197
2472,1,Train,28:03.9,997072
2472,1,Train,19:53.1,300959
2473,1,Train,49:33.8,919981
2481,1,Train,55:58.3,799060
2528,1,Train,25:25.9,931330
2528,1,Train,06:18.1,207742
2528,1,Train,38:11.9,334844
2528,1,Train,59:11.8,501534
2528,1,Train,43:02.2,560528
2528,1,Train,33:14.7,191727
2528,1,Train,41:08.8,46452
2528,1,Train,55:39.8,624163
2528,1,Train,52:38.3,969925
2528,1,Train,01:05.6,958210
2528,1,Train,43:47.2,811914
2528,1,Train,34:33.5,150909
2528,1,Train,58:30.1,917569
2528,1,Train,11:29.6,624159
2528,1,Train,56:02.8,1012976
2549,1,Train,58:49.1,346689
2549,1,Train,58:13.6,1076688
2549,1,Train,58:13.2,364725
2549,1,Train,58:12.8,835102
2549,1,Train,58:13.1,535308
2549,1,Train,48:33.4,912672
2549,1,Train,54:47.8,959551
2571,1,Train,53:30.6,104569
2604,1,Train,25:33.4,678432
2638,1,Train,42:45.2,515123
2638,1,Train,11:13.7,596465
2638,1,Train,14:55.5,493173
2638,1,Train,21:08.5,510346
2638,1,Train,49:30.5,90751
2638,1,Train,17:22.6,166742
2638,1,Train,56:39.9,6867
2638,1,Train,04:33.3,1010027
2638,1,Train,07:31.0,630912
2638,1,Train,08:14.2,480263
2638,1,Train,00:54.5,1000035
2652,1,Test,13:32.4,462473
2652,1,Test,20:21.3,596092
